Date,ClientName,Side,Symbol,QuoteID,ClOrdID,OrderID,TransactTime,OrderQty,OrdType,Price,AvgPx,CumQty,LeavesQty,OrdStatus,Fee,FilledValue,OtherFee,AlgoNote,BasketID,username,ip,mac
2023-06-09,yytz_888867600047,S,301319.SZ,"20875132397000059	","2357395677193893888	","2357395677193893888	","93144623	",800,"Limit	",50.99,50.99,800,0,"Filled	",0.0,-40792.0,44.00233,1,,,,
2023-06-09,yytz_888867600047,S,002990.SZ,"20875132397000041	","2359113320514910208	","2359113320514910208	","93209619	",500,"Limit	",38.15,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,688002.SH,"20875132397000105	","2360144593702287360	","2360144593702287360	","93224625	",509,"Limit	",47.51,47.51,509,0,"Filled	",0.0,-24182.59,26.08576,1,,,,
2023-06-09,yytz_888867600047,S,688526.SH,"20875132397000118	","2360350820851972096	","2360350820851972096	","93227626	",691,"Limit	",22.2,22.2,691,0,"Filled	",0.0,-15340.2,16.547474,1,,,,
2023-06-09,yytz_888867600047,S,688599.SH,"20875132397000121	","2361037809460901888	","2361037809460901888	","93237623	",634,"Limit	",35.74,35.74,634,0,"Filled	",0.0,-22659.16,24.442436,1,,,,
2023-06-09,yytz_888867600047,S,601336.SH,"20875132397000078	","2361725072947738624	","2361725072947738624	","93247625	",400,"Limit	",37.9,37.91,400,0,"Filled	",0.0,-15164.0,16.357407,1,,,,
2023-06-09,yytz_888867600047,S,000921.SZ,"20875132397000012	","2362480574874974208	","2362480574874974208	","93258619	",700,"Limit	",25.28,25.28,700,0,"Filled	",0.0,-17696.0,19.088675,1,,,,
2023-06-09,yytz_888867600047,S,605336.SH,"20875132397000103	","2362480781033404416	","2362480781033404416	","93258621	",1100,"Limit	",16.95,16.95,1100,0,"Filled	",0.0,-18645.0,20.112362,1,,,,
2023-06-09,yytz_888867600047,S,000750.SZ,"20875132397000011	","2362618013828446208	","2362618013828446208	","93300619	",2300,"Limit	",3.42,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,003816.SZ,"20875132397000043	","2362618082547922944	","2362618082547922944	","93300619	",2700,"Limit	",3.05,3.05,2700,0,"Filled	",0.0,-8235.0,8.883095,1,,,,
2023-06-09,yytz_888867600047,S,600170.SH,"20875132397000061	","2362618151267399680	","2362618151267399680	","93300620	",3100,"Limit	",2.73,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,601003.SH,"20875132397000073	","2362618288706353152	","2362618288706353152	","93300622	",2000,"Limit	",4.17,4.17,2000,0,"Filled	",0.0,-8340.0,8.996358,1,,,,
2023-06-09,yytz_888867600047,S,301208.SZ,"20875132397000057	","2362893097893820416	","2362893097893820416	","93304621	",200,"Limit	",58.73,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,601519.SH,"20875132397000079	","2362893372771727360	","2362893372771727360	","93304625	",1200,"Limit	",7.25,7.25,1200,0,"Filled	",0.0,-8700.0,9.38469,1,,,,
2023-06-09,yytz_888867600047,S,301102.SZ,"20875132397000056	","2363236832716453888	","2363236832716453888	","93309624	",300,"Limit	",34.5,34.5033,300,0,"Filled	",0.0,-10350.99,11.165613,1,,,,
