Date,ClientName,Side,Symbol,OrdType,TaskQty,ClOrdID,StartTime,EndTime,CancelFlag,OrderCount,CancelledCount,FilledQty,AvgPx,Status,TWAP,VWAP,BasketID,Fee,OtherFee,CumVolPercentage(%),Pnl,CumQtyBuy,CumQtySell,AvgPxBuy,AvgPxSell,EodPrice
2022-06-14,ruizeng8,S,601965.SH,"TWAP_Plus	",100,"20838447148000125	","130551000	","131551000	",2,2,1,100,15.0,0,14.948825,14.938524,,-0.225,-1.63305,0.0443,null,null,null,null,null,null
2022-06-14,ruizeng8,S,600673.SH,"TWAP_Plus	",100,"20838447148000126	","130551000	","131551000	",2,1,0,100,8.39,0,8.410008,8.414021,,-0.12585,-0.913419,0.0147,null,null,null,null,null,null
2022-06-14,ruifeng6,S,002249.SZ,"TWAP_Plus	",200,"20838447148000127	","130551000	","131551000	",2,1,0,200,5.8,0,5.79805,5.801631,,-0.174,-1.262892,0.0204,null,null,null,null,null,null
2022-06-14,ruifeng6,B,603308.SH,"TWAP_Plus	",100,"20838447148000128	","130551000	","131551000	",2,2,1,100,14.79,0,14.775191,14.784672,,-0.22185,-0.131187,0.0631,null,null,null,null,null,null
2022-06-14,ruifeng6,B,000536.SZ,"TWAP_Plus	",400,"20838447148000129	","130551000	","131551000	",2,2,1,400,1.93,0,1.9273,1.932048,,-0.1158,-0.068476,0.1379,null,null,null,null,null,null
2022-06-14,ruifeng6,S,000881.SZ,"TWAP_Plus	",100,"20838447148000130	","130551000	","131551000	",2,1,0,100,8.49,0,8.49565,8.496847,,-0.12735,-0.924306,0.0709,null,null,null,null,null,null
2022-06-14,ruizeng8,B,000536.SZ,"TWAP_Plus	",100,"20838447148000131	","130551000	","131551000	",2,2,1,100,1.93,0,1.9273,1.932048,,-0.02895,-0.017119,0.0345,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600141.SH,"TWAP_Plus	",100,"20838447148000132	","130551000	","131551000	",2,2,1,100,44.86,0,44.878395,44.845636,,-0.6729,-4.883908,0.0061,null,null,null,null,null,null
2022-06-14,ruifeng6,B,600522.SH,"TWAP_Plus	",100,"20838447148000133	","130551000	","131551000	",2,1,0,100,17.99,0,17.969025,17.978251,,-0.26985,-0.159571,0.0028,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600835.SH,"TWAP_Plus	",100,"20838447148000134	","130551000	","131551000	",2,1,0,100,12.64,0,12.640433,12.646269,,-0.1896,-1.376117,0.1658,null,null,null,null,null,null
