算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
1030835234568000001,20838434516000032,2022-06-14,1,ruiding2,1,103,多策略,000049,1,1,38.16,500,2022-06-1493608124,38.14,500,2022-06-1493608124,0,1.691509
1030835234568000002,20838434516000035,2022-06-14,1,ruizeng8,1,103,多策略,000049,1,1,38.16,500,2022-06-1493608124,38.14,500,2022-06-1493608124,0,1.691509
1030835234568000003,20838434516000041,2022-06-14,1,ruifeng6,1,103,多策略,000049,1,1,38.16,1400,2022-06-1493608124,38.14,1400,2022-06-1493608124,0,4.736225
1030835234568000009,20838434515000099,2022-06-14,2,ruiyan1,1,103,多策略,600123,1,1,18.94,100,2022-06-1493608153,18.94,100,2022-06-1493608153,0,0.167998
1030835234568000010,20838434515000100,2022-06-14,2,ruifeng6,1,103,多策略,600123,1,1,18.94,100,2022-06-1493608153,18.94,100,2022-06-1493608153,0,0.167998
1030835234568000011,20838434515000101,2022-06-14,2,ruiding2,1,103,多策略,600123,1,1,18.94,100,2022-06-1493608153,18.94,100,2022-06-1493608153,0,0.167998
1030835234569000001,20838434514000033,2022-06-14,1,ruifeng6,1,103,多策略,300224,1,1,13.5,100,2022-06-1493609135,13.5,100,2022-06-1493609135,0,0.119745
1030835234569000009,20838434515000004,2022-06-14,2,ruifeng6,1,103,多策略,601238,1,1,16.3,100,2022-06-1493609154,16.3,100,2022-06-1493609154,0,0.144581
1030835234569000013,20838434515000081,2022-06-14,2,ruizeng8,1,103,多策略,603588,1,1,14.93,100,2022-06-1493609160,14.93,100,2022-06-1493609160,0,0.132429
1030835234570000000,20838434516000044,2022-06-14,1,ruifeng6,1,103,多策略,000951,1,1,12.17,4100,2022-06-1493610127,12.17,4100,2022-06-1493610127,0,4.425864
1030835234570000001,20838434515000088,2022-06-14,1,ruiyan1,1,103,多策略,002555,1,1,21.54,500,2022-06-1493610132,21.54,500,2022-06-1493610132,0,0.955299
1030835234570000002,20838434515000089,2022-06-14,1,ruiding2,1,103,多策略,002555,1,1,21.54,800,2022-06-1493610132,21.54,800,2022-06-1493610132,0,1.528478
1030835234570000003,20838434515000090,2022-06-14,1,ruizeng8,1,103,多策略,002555,1,1,21.54,900,2022-06-1493610132,21.54,900,2022-06-1493610132,0,1.719538
1030835234570000013,20838434203000044,2022-06-14,1,ruiyan1,1,103,多策略,300226,1,1,21.98,700,2022-06-1493610839,21.98,700,2022-06-1493610839,0,1.364738
1030835234570000014,20838434204000012,2022-06-14,1,ruiding2,1,103,多策略,300226,1,1,21.98,1100,2022-06-1493610839,21.98,1100,2022-06-1493610839,0,2.144589
1030835234570000015,20838434205000003,2022-06-14,1,ruizeng8,1,103,多策略,300226,1,1,21.98,1400,2022-06-1493610839,21.98,1400,2022-06-1493610839,0,2.729476
1030835234572000000,20838434516000038,2022-06-14,1,ruizeng8,1,103,多策略,000951,1,1,12.17,1500,2022-06-1493612130,12.17,1500,2022-06-1493612130,0,1.619218
1030835234572000001,20838434516000040,2022-06-14,1,ruiyan1,1,103,多策略,000951,1,1,12.17,800,2022-06-1493612130,12.17,800,2022-06-1493612130,0,0.863583
1030835234572000002,20838434516000047,2022-06-14,1,ruiding2,1,103,多策略,000951,1,1,12.17,1300,2022-06-1493612130,12.17,1300,2022-06-1493612130,0,1.403323
1030835234573000002,20838434515000057,2022-06-14,2,ruifeng6,1,103,多策略,601965,1,1,14.84,100,2022-06-1493613158,14.84,100,2022-06-1493613158,0,0.131631
1030835234573000003,20838434515000067,2022-06-14,2,ruizeng8,1,103,多策略,601965,1,1,14.84,100,2022-06-1493613158,14.84,100,2022-06-1493613158,0,0.131631
1030835234575000000,20838434515000010,2022-06-14,2,ruizeng8,1,103,多策略,600522,1,1,18.59,100,2022-06-1493615150,18.58,100,2022-06-1493615150,0,0.164805
1030835234577000001,20838434515000031,2022-06-14,2,ruifeng6,1,103,多策略,601003,1,1,4.28,100,2022-06-1493617153,4.28,100,2022-06-1493617153,0,0.037964
1030835234577000002,20838434515000033,2022-06-14,2,ruiyan1,1,103,多策略,601003,1,1,4.28,100,2022-06-1493617153,4.28,100,2022-06-1493617153,0,0.037964
1030835234577000003,20838434515000035,2022-06-14,2,ruiding2,1,103,多策略,601003,1,1,4.28,100,2022-06-1493617153,4.28,100,2022-06-1493617153,0,0.037964
1030835234577000004,20838434515000038,2022-06-14,2,ruizeng8,1,103,多策略,601003,1,1,4.28,100,2022-06-1493617153,4.28,100,2022-06-1493617153,0,0.037964
1030835234581000001,20838434515000043,2022-06-14,1,ruizeng8,1,103,多策略,002056,1,2,24.48,800,2022-06-1493621132,24.4812,800,2022-06-1493621132,0,21.322146
1030835234581000002,20838434515000048,2022-06-14,1,ruiyan1,1,103,多策略,002056,1,2,24.49,200,2022-06-1493621132,24.49,200,2022-06-1493621132,0,5.332453
1030835234581000003,20838434515000053,2022-06-14,1,ruifeng6,1,103,多策略,002056,1,2,24.48,2100,2022-06-1493621133,24.48,2100,2022-06-1493621133,0,55.96789
1030835234581000004,20838434515000061,2022-06-14,1,ruiding2,1,103,多策略,002056,1,2,24.49,300,2022-06-1493621133,24.49,300,2022-06-1493621133,0,7.998679
1030835234583000003,20838434514000041,2022-06-14,1,ruiding2,1,103,多策略,002051,1,2,8.76,100,2022-06-1493623133,8.76,100,2022-06-1493623133,0,0.953701
1030835234583000004,20838434514000015,2022-06-14,2,ruifeng6,1,103,多策略,600184,1,2,13.2,3700,2022-06-1493623152,13.2,2600,2022-06-1493623152,0,37.364184
1030835234583000005,20838434514000017,2022-06-14,2,ruiding2,1,103,多策略,600184,1,2,13.2,1200,2022-06-1493623152,13.2,1200,2022-06-1493623152,0,17.245008
1030835234583000006,20838434514000019,2022-06-14,2,ruizeng8,1,103,多策略,600184,1,2,13.2,1400,2022-06-1493623152,0.0,0,2022-06-1493623152,0,0.0
1030835234584000001,20838434514000012,2022-06-14,2,ruiyan1,1,103,多策略,600184,1,2,13.19,500,2022-06-1493624151,13.19,500,2022-06-1493624151,0,7.179976
1030835234589000001,20838434515000031,2022-06-14,2,ruifeng6,1,103,多策略,601003,1,1,4.28,1500,2022-06-1493629158,4.28,1500,2022-06-1493629158,0,0.569454
1030835234589000002,20838434515000033,2022-06-14,2,ruiyan1,1,103,多策略,601003,1,1,4.28,600,2022-06-1493629158,4.28,600,2022-06-1493629158,0,0.227782
1030835234589000003,20838434515000035,2022-06-14,2,ruiding2,1,103,多策略,601003,1,1,4.28,1000,2022-06-1493629158,4.28,1000,2022-06-1493629158,0,0.379636
