算法母单编号,交易日期,资金账户名称,算法类型,算法实例,算法供应商,任务数,证券代码,市场类别,买卖方向1,买卖方向2,开始时间,结束时间,下单时间
6880872434086000225,20230614,7027,0,103,多策略,18300,2139,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000226,20230614,7027,0,103,多策略,200,2142,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000227,20230614,7027,0,103,多策略,540900,2146,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000228,20230614,7027,0,103,多策略,100,2152,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000229,20230614,7027,0,103,多策略,12500,2153,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000230,20230614,7027,0,103,多策略,600,2155,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000231,20230614,7027,0,103,多策略,13400,2156,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000232,20230614,7027,0,103,多策略,13200,2158,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000233,20230614,7027,0,103,多策略,200,2159,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000234,20230614,7027,0,103,多策略,45400,2160,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000235,20230614,7027,0,103,多策略,600,2161,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000236,20230614,7027,0,103,多策略,1300,2163,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000237,20230614,7027,0,103,多策略,300,2176,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000238,20230614,7027,0,103,多策略,105300,2178,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000239,20230614,7027,0,103,多策略,14200,2180,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000240,20230614,7027,0,103,多策略,16400,2181,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000241,20230614,7027,0,103,多策略,800,2182,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000242,20230614,7027,0,103,多策略,21600,2187,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000243,20230614,7027,0,103,多策略,16500,2189,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000244,20230614,7027,0,103,多策略,200,2192,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000245,20230614,7027,0,103,多策略,40200,2196,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000246,20230614,7027,0,103,多策略,27100,2197,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000247,20230614,7027,0,103,多策略,8400,2198,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000248,20230614,7027,0,103,多策略,900,2199,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000249,20230614,7027,0,103,多策略,100,2203,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000250,20230614,7027,0,103,多策略,32000,2212,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000251,20230614,7027,0,103,多策略,8300,2222,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000252,20230614,7027,0,103,多策略,100,2223,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000253,20230614,7027,0,103,多策略,24500,2224,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000254,20230614,7027,0,103,多策略,3700,2235,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000255,20230614,7027,0,103,多策略,8900,2236,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000256,20230614,7027,0,103,多策略,17200,2237,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000257,20230614,7027,0,103,多策略,26800,2239,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000258,20230614,7027,0,103,多策略,1700,2242,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000259,20230614,7027,0,103,多策略,20400,2244,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000260,20230614,7027,0,103,多策略,4900,2247,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000261,20230614,7027,0,103,多策略,23000,2250,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000262,20230614,7027,0,103,多策略,16600,2253,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000263,20230614,7027,0,103,多策略,21200,2266,1,2,,20230614093000,20230614140000,20230614093000
